Group,N,% Female,Mean Age,Mode Income Level,Mode Setting,% of Prior Research Participants,% Single,% Married
Mturk,104,54.8%,37.3,45k - 60k,In Home / Apartment,81.2%,51.9%,34.6%
U of C,96,68.8%,22.8,15k - 30k,In Home / Apartment,60.6%,63.5%,5.2%
Overall,200,61.5%,30.4,15k - 30k,In Home / Apartment,70.5%,57.5%,19.0%
